150 PA5-K-Unknown-Output.txt 6
    9.31    17.16   -10.04         9.31    17.16   -10.04     0.000
   11.96   -14.95   -20.39        11.96   -14.95   -20.39     0.000
  -29.30   -32.20   -26.27       -29.30   -32.20   -26.27     0.000
   31.97    18.98   -12.13        31.97    18.98   -12.13     0.000
   14.65    -1.23    63.03        14.65    -1.23    63.03     0.000
   37.82     9.88   -14.88        37.82     9.88   -14.88     0.000
   15.28     2.87   -27.01        15.28     2.87   -27.01     0.000
   -6.74    -0.30   -39.75        -6.74    -0.30   -39.75     0.000
  -18.18   -18.53   -47.83       -18.18   -18.53   -47.83     0.000
   -6.03     9.29   -16.45        -6.03     9.29   -16.45     0.000
  -34.76    -3.73   -42.08       -34.76    -3.73   -42.08     0.000
   -8.65     3.04    67.69        -8.65     3.04    67.69     0.000
    7.54     2.67    72.47         7.54     2.67    72.47     0.000
   13.69    15.39   -18.09        13.69    15.39   -18.09     0.000
   -7.09    12.51    44.12        -7.09    12.51    44.12     0.000
   -2.13    -4.77    70.41        -2.13    -4.77    70.41     0.000
  -37.22     0.85   -37.65       -37.22     0.85   -37.65     0.000
   11.75    21.19   -30.13        11.75    21.19   -30.13     0.000
    3.08    19.26    35.04         3.08    19.26    35.04     0.000
   -8.70     5.52    56.43        -8.70     5.52    56.43     0.000
  -13.29    14.43   -22.29       -13.29    14.43   -22.29     0.000
   31.62     8.46   -32.62        31.62     8.46   -32.62     0.000
   18.89    -8.52     3.16        18.89    -8.52     3.16     0.000
   38.48     2.07    -3.42        38.48     2.07    -3.42     0.000
   -4.74     0.08    41.41        -4.74     0.08    41.41     0.000
   12.39    13.93    72.23        12.39    13.93    72.23     0.000
  -36.91     3.65   -32.55       -36.91     3.65   -32.55     0.000
   15.66    26.88     0.61        15.66    26.88     0.61     0.000
   18.14    11.21    54.56        18.14    11.21    54.56     0.000
   27.40    19.59     7.34        27.40    19.59     7.34     0.000
  -28.92     3.84   -40.57       -28.92     3.84   -40.57     0.000
   24.05    24.62   -11.12        24.05    24.62   -11.12     0.000
   30.86    -3.30     5.16        30.86    -3.30     5.16     0.000
    2.75   -12.40    -1.56         2.75   -12.40    -1.56     0.000
   16.18   -14.32    -5.19        16.18   -14.32    -5.19     0.000
  -28.36   -26.62   -39.84       -28.36   -26.62   -39.84     0.000
  -19.85    -9.80    -2.36       -19.85    -9.80    -2.36     0.000
    8.38    -5.88    26.36         8.38    -5.88    26.36     0.000
   16.57     7.81   -24.50        16.57     7.81   -24.50     0.000
   21.22    11.49    33.45        21.22    11.49    33.45     0.000
  -28.09    12.61   -23.83       -28.09    12.61   -23.83     0.000
   12.50    -4.90    47.03        12.50    -4.90    47.03     0.000
  -22.48    11.34   -35.40       -22.48    11.34   -35.40     0.000
  -21.70    -4.76    -5.33       -21.70    -4.76    -5.33     0.000
  -19.14     1.56    -8.31       -19.14     1.56    -8.31     0.000
   18.22     1.86   -30.17        18.22     1.86   -30.17     0.000
   -3.80   -23.19   -36.41        -3.80   -23.19   -36.41     0.000
  -22.36   -17.13   -47.91       -22.36   -17.13   -47.91     0.000
   15.05     2.33   -27.00        15.05     2.33   -27.00     0.000
  -25.19   -20.46   -46.50       -25.19   -20.46   -46.50     0.000
   -4.32    -2.14    61.36        -4.32    -2.14    61.36     0.000
  -33.18   -25.69   -36.78       -33.18   -25.69   -36.78     0.000
   -6.63    17.13    12.81        -6.63    17.13    12.81     0.000
